content_id,hub_id,pattern_id,case_summary,region,district,building_type,service,primary_keyword,related_topics,symptom,cause,equipment,hero_image,diagnosis_image,cause_image,work_image,result_image,publication_status,channel,content_version,last_reviewed
HUB-GWANGJU-BUKGU-PAT-001,gwangju-bukgu,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,광주 북구,,상가,상가 싱크대 역류,광주북구상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-BUKGU-PAT-002,gwangju-bukgu,PAT-002,공용 메인 오수관 내부를 내시경으로 진단하고 고압세척 후 세대별 배수 상태를 재확인하는 표준 흐름입니다.,광주 북구,,아파트,아파트 메인 오수관 역류,광주북구아파트메인오수관역류,"여러 배수구 또는 세대의 동시 역류 | 공용 오수관의 생활 슬러지·물티슈·침전물 축적 | 배관내시경, 관로 확인 장비, 고압세척",여러 배수구 또는 세대의 동시 역류,공용 오수관의 생활 슬러지·물티슈·침전물 축적,"배관내시경, 관로 확인 장비, 고압세척",IMG-014,IMG-015,IMG-016,IMG-017,IMG-019,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-BUKGU-PAT-005,gwangju-bukgu,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,광주 북구,,아파트,아파트 난방배관 누수,광주북구아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-SEOGU-PAT-001,gwangju-seogu,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,광주 서구,,상가,상가 싱크대 역류,광주서구상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-SEOGU-PAT-002,gwangju-seogu,PAT-002,공용 메인 오수관 내부를 내시경으로 진단하고 고압세척 후 세대별 배수 상태를 재확인하는 표준 흐름입니다.,광주 서구,,아파트,아파트 메인 오수관 역류,광주서구아파트메인오수관역류,"여러 배수구 또는 세대의 동시 역류 | 공용 오수관의 생활 슬러지·물티슈·침전물 축적 | 배관내시경, 관로 확인 장비, 고압세척",여러 배수구 또는 세대의 동시 역류,공용 오수관의 생활 슬러지·물티슈·침전물 축적,"배관내시경, 관로 확인 장비, 고압세척",IMG-014,IMG-015,IMG-016,IMG-017,IMG-019,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-SEOGU-PAT-005,gwangju-seogu,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,광주 서구,,아파트,아파트 난방배관 누수,광주서구아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-NAMGU-PAT-001,gwangju-namgu,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,광주 남구,,상가,상가 싱크대 역류,광주남구상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-NAMGU-PAT-004,gwangju-namgu,PAT-004,맨홀 내부 오수를 석션으로 정리한 뒤 연결 오수관을 고압세척하고 시험 배수하는 표준 작업 흐름입니다.,광주 남구,,단독·다가구주택,주택 외부 맨홀 넘침,광주남구주택외부맨홀넘침,"외부 맨홀 수위 상승·오수 넘침·악취 | 토사·생활 슬러지·낙엽·오수관 침전물 축적 | 석션, 배관 점검 장비, 고압세척",외부 맨홀 수위 상승·오수 넘침·악취,토사·생활 슬러지·낙엽·오수관 침전물 축적,"석션, 배관 점검 장비, 고압세척",IMG-041,IMG-042,IMG-043,IMG-044,IMG-046,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-NAMGU-PAT-005,gwangju-namgu,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,광주 남구,,아파트,아파트 난방배관 누수,광주남구아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-GWANGSANGU-PAT-002,gwangju-gwangsangu,PAT-002,공용 메인 오수관 내부를 내시경으로 진단하고 고압세척 후 세대별 배수 상태를 재확인하는 표준 흐름입니다.,광주 광산구,,아파트,아파트 메인 오수관 역류,광주광산구아파트메인오수관역류,"여러 배수구 또는 세대의 동시 역류 | 공용 오수관의 생활 슬러지·물티슈·침전물 축적 | 배관내시경, 관로 확인 장비, 고압세척",여러 배수구 또는 세대의 동시 역류,공용 오수관의 생활 슬러지·물티슈·침전물 축적,"배관내시경, 관로 확인 장비, 고압세척",IMG-014,IMG-015,IMG-016,IMG-017,IMG-019,hub-linked,homepage,SSOS V5.0,2026-07-25
